,1-2,2-3,2-28,3-4,4-5,4-16,5-4,5-6,5-8,6-5,6-7,7-6,7-9,7-10,8-9,8-14,9-7,9-10,9-13,10-7,10-11,11-10,11-19,12-18,13-9,13-14,13-12,13-17,14-8,14-13,14-16,15-21,15-29,16-4,16-15,16-14,16-17,17-13,17-16,17-18,17-21,18-17,18-19,19-18,19-11,19-20,20-19,20-21,20-23,21-15,21-17,21-20,21-22,22-21,22-24,22-29,23-20,23-22,23-25,25-23,25-26,24-22,24-25,24-27,26-27,26-25,27-26,27-30,28-24,28-2,29-28,29-3,30-1,30-27
1-2,1.0,0.930496690277505,0.26843478844696,0.8597569025647445,0.824898958836913,0.7784962733400058,0.7429382061450226,0.8402873534096945,0.6819438278699691,0.7188366498135482,0.8416892782846311,0.7661216493623106,0.6415776482521309,0.8263308882854975,0.43735536169129463,,0.6903740994461636,0.5208634638902969,0.6730875479465297,0.6952930926361289,0.8013781799753551,0.7227331418850674,0.7164851114471786,,0.6825877648848336,,,0.6969754851928635,,,,,,0.8104556702477991,0.7617428723878845,,0.7965005649642309,0.637641387762497,0.824623954058538,0.8423352515442547,0.334783287011733,0.7841122664133514,0.76051195309008,0.7817477747905562,0.7325440731890208,0.6112255312066118,0.645043838261798,,0.5024548934139913,,0.1220508541998383,,0.19982006889362913,0.1247768161221112,0.2133056201690316,0.06469641842345242,0.5524185630377024,0.34511339070824104,0.7102825678513158,0.5961011097728602,0.7143965825091061,-0.06115322908622738,0.4330481939346796,0.7413015080915767,0.8165590833878138,0.7187918797640145,0.6999059790646313,0.8265745902710965,0.22988826543679833,,,0.28077861313999736,0.7954612466421892,0.8182218997329451
2-3,0.930496690277505,1.0,0.30197878420670793,0.8984420084381658,0.8662709245385859,0.7884806404598789,0.7529526532824239,0.8794916503866113,0.7219737315379245,0.74152272544554,0.8463083762995529,0.8303891826599256,0.6735152153837872,0.8403941217172105,0.4551229892238379,,0.7862800618256203,0.5918495145841735,0.6782965102668207,0.7732535575377979,0.8598286440942092,0.7857052812439722,0.7911512453741543,,0.756084245177173,,,0.7324663666635505,,,,,,0.838496529906985,0.7919205633899046,,0.7818740014368553,0.7127260008802286,0.8275157621537031,0.8441469862238474,0.3317107441387442,0.8249315838283865,0.7802224146490183,0.8259356491902246,0.7883825812640005,0.6011812033777234,0.6784552209040022,,0.4975374390663806,,0.1076315714140279,,0.2187773954221082,0.16819793253304718,0.2348265914797266,0.01974580174052865,0.5877455551791426,0.29211326139259275,0.70377770499747,0.5999787841106199,0.7217532309220819,-0.01809317024903697,0.493183733016748,0.7640019526851474,0.8046202767133427,0.7438506149502643,0.7120561370551831,0.825772897383024,0.31476960073032617,,,0.23732103601726065,0.7892051259228984,0.808497522537384
2-28,0.26843478844696,0.30197878420670793,1.0,0.33665352714766716,0.3275782616548524,0.3279456779827161,0.32407398117700603,0.30144248296193904,0.18505022443768385,0.3769648397786443,0.3273318262023052,0.2748726999415113,0.12160450806770354,0.2884792629884348,-0.0022372589664682017,,0.22106908058140196,0.17819844163531084,0.18816343984328635,0.26303014542169634,0.26865492254762385,0.24032836201532964,0.24412704236248856,,0.29155168824551186,,,0.19167017364783312,,,,,,0.2617136418510546,0.2682403774043364,,0.34013055233554806,0.32177376528238977,0.2768327356773368,0.3401454812938038,0.1073812526870735,0.26587806258227614,0.3746248398830559,0.27356780199473824,0.2757609237301367,0.22726618319525455,0.2469026305711753,,0.3896638133472076,,0.07642409178985243,,0.027828177177277834,0.25167307141698997,0.24335552308675856,0.10524165874513906,0.3133334326416515,0.06456977358099121,0.326273636841568,0.1925235365734439,0.20192408870479403,0.13171679813170262,0.1895106908638893,0.2534866361155892,0.2852591466254048,0.20241320193113638,0.19524386335727997,0.2770561169807048,0.23575712701254076,,,0.20021216749885368,0.3017922972082682,0.2301871742150038
3-4,0.8597569025647445,0.8984420084381658,0.33665352714766716,1.0,0.9484847027381056,0.8130937901065821,0.785637752293543,0.9226088912155104,0.685063227545188,0.8020528080761838,0.892530170968669,0.8662454797343214,0.740808805553773,0.8657956371175912,0.42408608542187143,,0.84662879457655,0.5933299994007062,0.7678416541331184,0.8246505900267835,0.8771110006754171,0.7816854746902154,0.8543283946944711,,0.8387785397001913,,,0.8000428451167094,,,,,,0.9014995976214751,0.8721564949472804,,0.8108628602818659,0.7669820643027917,0.8773384752461432,0.8841817464585582,0.37937098174335193,0.8330623704981567,0.8056339695745479,0.862453013553325,0.8151622293230292,0.6443772136146126,0.732079792269521,,0.5852005025872643,,0.12024620650482828,,0.2523383212750501,0.2788843914607426,0.3474957876206411,0.12644366370064702,0.6622308738672698,0.25243372568305206,0.7547478001458446,0.6028241492771321,0.7273258322290368,0.03967723336571054,0.4804901223902102,0.7493118517340477,0.7553524084010046,0.7324652699946349,0.7961763393734357,0.7720553058022334,0.35665871913845765,,,0.3316856318898204,0.7432291229001782,0.8339458539955235
4-5,0.824898958836913,0.8662709245385859,0.3275782616548524,0.9484847027381056,1.0,0.8389722728623827,0.797092543684329,0.93570801310193,0.6945463263523286,0.8044595013027053,0.8840021709384199,0.879325099441972,0.7574162071721537,0.8731621424648298,0.4127750941587338,,0.8555748947275027,0.5887243858431267,0.7729834807297801,0.8357025624821128,0.8941037748282826,0.7956818627141827,0.8752898777128733,,0.8393580575666578,,,0.8197623993175178,,,,,,0.8943246549038711,0.8518185139572393,,0.8322563518895951,0.7676687983195194,0.8612771712442674,0.8892724420362623,0.3700010313244296,0.8203800586922234,0.7980659416667935,0.8340662174412955,0.8251227373690107,0.603131694620163,0.710581612690591,,0.5822459966806179,,0.10802480610416855,,0.2247901261609099,0.2823555972214481,0.35498157074718206,0.12266575811566548,0.6491981855299978,0.23328360895171238,0.7383627314387071,0.6092003201492864,0.7277603485446048,0.032363443666273806,0.4885564957837354,0.7567361048810001,0.7723382307298192,0.741905513512491,0.8039119912685972,0.7811049429449983,0.37233913487841624,,,0.31346428475083415,0.7272002305518587,0.8101312060551632
4-16,0.7784962733400058,0.7884806404598789,0.3279456779827161,0.8130937901065821,0.8389722728623827,1.0,0.8136296361485484,0.817236801352351,0.6565537643114907,0.7245153195115919,0.790191963643639,0.7649147072817801,0.6490116290749928,0.7916045253230692,0.3969619800611265,,0.7112069947750791,0.5506279163924671,0.6757736793575277,0.7087480634716963,0.7799409689003457,0.7209217504328745,0.7504694711494603,,0.6822600649764614,,,0.7229337202372853,,,,,,0.7898368973574035,0.7456058599045942,,0.8803940414312741,0.6854984453851258,0.7987111648017466,0.8302493616646458,0.3540456942021333,0.781952247029307,0.7681655082786675,0.7336289741069281,0.7779538028116969,0.5697528814551256,0.6524745771534475,,0.5260049902737461,,0.08933407797506294,,0.18321809523736923,0.22288946547547725,0.27698652408081637,0.05541798539988008,0.6268188566829375,0.18139720964452413,0.7127775844757529,0.5879074732101235,0.7054248437866467,0.02099803780102259,0.4361808334641526,0.7318632694280387,0.7933343751319981,0.6991200739643075,0.7233168943912219,0.7938079089517617,0.3456973353769521,,,0.3026037903668298,0.7045099848162448,0.7817695698989753
5-4,0.7429382061450226,0.7529526532824239,0.32407398117700603,0.785637752293543,0.797092543684329,0.8136296361485484,1.0,0.7685839646133678,0.6064560831739823,0.7790928909066809,0.7576597995299515,0.7495106640152673,0.5970250539242322,0.7365607888242134,0.3228323925969791,,0.6496903153965989,0.559444902160313,0.6166835123036899,0.673575071127761,0.6904536909206413,0.6241459370728963,0.6617912108705768,,0.6630667999137622,,,0.6198691949601999,,,,,,0.7898791715582948,0.731057974591965,,0.74424470314588,0.605820123104902,0.7374794901838518,0.7605777079590511,0.3511421242678891,0.6905396872894435,0.6747302445633315,0.7016463606876597,0.6778802803608527,0.5111816266425911,0.5744833732353647,,0.44009376652281174,,0.11283975960011687,,0.23075992511563276,0.27610702095660244,0.34438256951439156,0.10917327541767456,0.5377923816610156,0.1962816995073109,0.6123793293044486,0.5787402004844767,0.6222975251043312,0.028742929988627104,0.3664066409962401,0.6369097476636033,0.6911785275940276,0.647143711121436,0.6037109372613849,0.7059983385683788,0.3763889829772913,,,0.24325517741109923,0.6678200983351967,0.6729416720278217
5-6,0.8402873534096945,0.8794916503866113,0.30144248296193904,0.9226088912155104,0.93570801310193,0.817236801352351,0.7685839646133678,1.0,0.7053541025728085,0.8033473969719404,0.9033685490874254,0.8951656120992536,0.7755759908140637,0.8944673445624375,0.4267265926426454,,0.8640769088434275,0.5838830817913677,0.7706396092594121,0.8422701317955736,0.9150073957513286,0.8302594999840204,0.8737437147635256,,0.8331736679138252,,,0.8171309505581295,,,,,,0.9002742767755098,0.8705641143080647,,0.8298204930020866,0.7746029553064798,0.8965453048353663,0.8998944552587161,0.36419830390899555,0.8706128627229213,0.8311205761350087,0.8704040114006271,0.8193778478405255,0.6435925848852561,0.6965770631671807,,0.5615808015718516,,0.06454572846283305,,0.22815067175813528,0.28795538588427405,0.349400418740735,0.1006908504321132,0.6253215108642441,0.2360051844354074,0.7490920151762438,0.5869308989789401,0.7685916373256424,0.047415249631464707,0.5327997563215189,0.7960821285974168,0.7779097427558148,0.7627490918172644,0.8112119071429646,0.8064810695155816,0.3892190041777782,,,0.2859747758618855,0.7511990182121427,0.8533754252727654
5-8,0.6819438278699691,0.7219737315379245,0.18505022443768385,0.685063227545188,0.6945463263523286,0.6565537643114907,0.6064560831739823,0.7053541025728085,1.0,0.5547268273859629,0.6809666205981951,0.6578033380625204,0.47794668309728294,0.7035022358685701,0.6785487019379758,,0.6113234011819827,0.591899427821043,0.4705888705553537,0.6096091315723923,0.6938209447100891,0.6409558391047965,0.6213518684295563,,0.582216585329705,,,0.6050187489987299,,,,,,0.64483783871055,0.5942171799278869,,0.6574848918386597,0.5607477117825553,0.6597511602752181,0.7038733122703623,0.3726532406441217,0.693048052745679,0.6026590240874057,0.6668553715181419,0.6664849684086495,0.5031534086679346,0.5643932724206879,,0.3589593690423074,,0.13045185456797026,,0.21405704987699609,0.14161569253336975,0.16958288219933657,-0.05896676942799595,0.5095899430229764,0.2546028436405076,0.529782007627985,0.5200867348803461,0.6213584933628266,0.010940339881500633,0.5393492076725794,0.7052909310615881,0.6556570588803413,0.6704814757168308,0.5621212629000598,0.6843665699209578,0.32254581802357307,,,0.08963387669188262,0.6621846725928029,0.6481739706933393
6-5,0.7188366498135482,0.74152272544554,0.3769648397786443,0.8020528080761838,0.8044595013027053,0.7245153195115919,0.7790928909066809,0.8033473969719404,0.5547268273859629,1.0,0.8288081254512492,0.7752250915043546,0.6407062517943846,0.7567642431992234,0.2785238637390545,,0.6641020155572952,0.4814641854873882,0.65279337264661,0.7009288503618406,0.7549039717202609,0.6510229807891617,0.7087474461798057,,0.6843116435673088,,,0.6405142911676894,,,,,,0.7542082098134066,0.7034787880459425,,0.7508278428674956,0.658672297825031,0.7414742283520024,0.796494815294096,0.3545745792184622,0.719927283882808,0.7253151932130834,0.7450232551624092,0.6654839479686868,0.5051373203111851,0.5081004184500006,,0.5180578411238822,,0.09869157354377102,,0.272339934057263,0.35901969780970405,0.4202434412151841,0.17972784911639691,0.5991113539336768,0.18770587404664474,0.6898808788893692,0.5482005412000884,0.6556078256987486,0.08552647205314919,0.41603563691443085,0.6694445845642111,0.694443827951953,0.6491178916782273,0.6274179536410998,0.7294560418585748,0.4038312563739772,,,0.3258254117930033,0.6641926813842229,0.6849536590570849
6-7,0.8416892782846311,0.8463083762995529,0.3273318262023052,0.892530170968669,0.8840021709384199,0.790191963643639,0.7576597995299515,0.9033685490874254,0.6809666205981951,0.8288081254512492,1.0,0.8554393462327685,0.7418995469068648,0.9152099467694522,0.39006665060417844,,0.7778012943562932,0.5613463729310748,0.7717968024985014,0.8113425200796369,0.8887078862755525,0.7958849481349257,0.8305073115516437,,0.7666618063339059,,,0.7547669727876447,,,,,,0.841752352307236,0.8084996766076312,,0.8503710094552613,0.7502834933957101,0.8637648109181063,0.9086025050053029,0.4059182185213719,0.8490773759348271,0.8434658560064214,0.8718161500560957,0.7379325598063514,0.6111163830678928,0.6777450201943357,,0.5618639991279601,,0.15765267552703607,,0.27851178156056977,0.32953914473032636,0.3897430488066052,0.16257828419002265,0.646548541888796,0.32189444886051216,0.7804884060862309,0.623732417679828,0.7635560409579778,0.07685526008797529,0.47424039489028935,0.7731267153211856,0.7912147327815037,0.7723813453298873,0.7704882887735275,0.8135995083283819,0.37791237580169657,,,0.31049984238632244,0.7799128213267674,0.8389454259522647
7-6,0.7661216493623106,0.8303891826599256,0.2748726999415113,0.8662454797343214,0.879325099441972,0.7649147072817801,0.7495106640152673,0.8951656120992536,0.6578033380625204,0.7752250915043546,0.8554393462327685,1.0,0.7804171681211992,0.8481093555721956,0.44747901550577934,,0.9095409372129043,0.6179843850350708,0.7167457363130476,0.9346739553354322,0.8953574198484098,0.8635780153172076,0.8473651444706064,,0.8568033079288628,,,0.7887172720867801,,,,,,0.9066714099159037,0.8615032758704609,,0.7701090092562771,0.76328791051561,0.8684754775867418,0.8620502022905763,0.3144309711543717,0.8699317189168342,0.785250540463583,0.860048014463161,0.7912578830086044,0.4894702547234224,0.6342276822600581,,0.5159624035691356,,0.009059372853988735,,0.18896139922106042,0.327959292227128,0.39346868787176725,0.12898785683872152,0.5391954124525508,0.2295484995581962,0.72171409341231,0.5161379107024184,0.7878766589992713,0.059845318780270274,0.5125417220523417,0.7861411705870819,0.7446127186683138,0.6958597662373948,0.7901867566170008,0.7854101791496855,0.4165006592945868,,,0.3210282283924783,0.7287760990346388,0.8175621126644371
7-9,0.6415776482521309,0.6735152153837872,0.12160450806770354,0.740808805553773,0.7574162071721537,0.6490116290749928,0.5970250539242322,0.7755759908140637,0.47794668309728294,0.6407062517943846,0.7418995469068648,0.7804171681211992,1.0,0.741705720292376,0.27401600893615163,,0.7885638854261963,0.48333127340076404,0.8310366640582153,0.7686862386933092,0.7563854740036858,0.7163634996408482,0.7553479456298543,,0.7498235071740154,,,0.7608290416652268,,,,,,0.7559269338896738,0.7116894012460635,,0.6621447451444956,0.6711254345352745,0.7420541942654263,0.6943743958936843,0.38091952878789964,0.6807478364143444,0.6481624655980716,0.6903904934615485,0.6841967670469592,0.5162392103904969,0.5706825168261607,,0.4227582968431318,,0.070442685337893,,0.2058884022538366,0.2670737969402242,0.3201979616165348,0.13595249162556272,0.4354964190502817,0.19961381198694592,0.6167300289556101,0.3711401501079159,0.641739956857138,0.04740485214748823,0.38955147021121467,0.6196359652524177,0.5903174921371207,0.6114391593232302,0.718728269226901,0.5862901472271945,0.3103628363102028,,,0.2730689592424551,0.55033789471611,0.7076427159386777
7-10,0.8263308882854975,0.8403941217172105,0.2884792629884348,0.8657956371175912,0.8731621424648298,0.7916045253230692,0.7365607888242134,0.8944673445624375,0.7035022358685701,0.7567642431992234,0.9152099467694522,0.8481093555721956,0.741705720292376,1.0,0.48631216823676593,,0.7912447892530433,0.5948477458769966,0.7385175368157999,0.8410904262626281,0.907027106153111,0.8570634913110213,0.8412370174836471,,0.7612901320446417,,,0.7704767866427497,,,,,,0.8311933664949708,0.8020764037668832,,0.820727430506379,0.7674078279511342,0.8448259197688806,0.8885895317578478,0.3892561553232666,0.8411445648836741,0.8263559736703465,0.8560758341846605,0.7712065346348153,0.6060200553046486,0.7123016561897269,,0.5784731013662071,,0.17084700626396226,,0.22537912956589098,0.29605200287630556,0.3878499784286623,0.16213054339656144,0.7029143409969597,0.2959273966133185,0.7831799357912239,0.6524405716807707,0.8002420670114717,0.011618239361370547,0.5254403324635947,0.8136088876536347,0.8003944681081235,0.7942960934081587,0.7914194293347533,0.7904187598366601,0.37800469923339824,,,0.3289223527670965,0.7283270895119041,0.8490626862980077
8-9,0.43735536169129463,0.4551229892238379,-0.0022372589664682017,0.42408608542187143,0.4127750941587338,0.3969619800611265,0.3228323925969791,0.4267265926426454,0.6785487019379758,0.2785238637390545,0.39006665060417844,0.44747901550577934,0.27401600893615163,0.48631216823676593,1.0,,0.4489598852346167,0.4845557763073687,0.19550696503934767,0.4075963656789875,0.4488613510946051,0.4650920436685021,0.3903968501264942,,0.3902386628929892,,,0.49758263239918354,,,,,,0.4231430241339131,0.3930404496492197,,0.3584120351755514,0.37474764474325795,0.43175244379472594,0.4391297384875564,0.23513095132039488,0.4489683035039054,0.3918616570480644,0.424601246765895,0.4475222244424887,0.3244673491031724,0.3399077928932878,,0.17435107968491595,,0.08392759255601222,,0.12561021555958649,0.05953946561130525,0.1123207066521291,-0.02194049091095264,0.3312923625808907,0.320376278551326,0.303302992066949,0.3608854534353434,0.5553767634441901,-0.054352996810508626,0.531919776613941,0.5995181380791504,0.4111821435139013,0.43651590326436074,0.4105511681924295,0.3985168437878371,0.19050950527056784,,,0.20303280432957382,0.3305585992788193,0.4675011639480144
8-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-7,0.6903740994461636,0.7862800618256203,0.22106908058140196,0.84662879457655,0.8555748947275027,0.7112069947750791,0.6496903153965989,0.8640769088434275,0.6113234011819827,0.6641020155572952,0.7778012943562932,0.9095409372129043,0.7885638854261963,0.7912447892530433,0.4489598852346167,,1.0,0.6125849453998826,0.6911702103886121,0.9050181571248691,0.8628710523702104,0.8432917857017024,0.8577848959299333,,0.9106456708645019,,,0.8156344074242429,,,,,,0.8678620207321025,0.8325767881212391,,0.6785875444829164,0.8007982712836984,0.8186999802289757,0.7706601247651195,0.30462948083515434,0.8111922874522967,0.7280376811092518,0.8068405440625946,0.8148512578621754,0.5258840803408418,0.6513792216789903,,0.44894482193311225,,0.03527498111662653,,0.1430403219558562,0.27726499185386594,0.3048254219353269,0.05687630708631556,0.5513867596019175,0.17895130624464609,0.6303573126875824,0.4513001959718937,0.6988479742568967,0.08272307030109026,0.4585472608942726,0.6952885216911431,0.6556444059910694,0.644658193436811,0.7705255016857332,0.6810431763331805,0.3743696784161436,,,0.29985569526497746,0.6177786566654839,0.759556524619326
9-10,0.5208634638902969,0.5918495145841735,0.17819844163531084,0.5933299994007062,0.5887243858431267,0.5506279163924671,0.559444902160313,0.5838830817913677,0.591899427821043,0.4814641854873882,0.5613463729310748,0.6179843850350708,0.48333127340076404,0.5948477458769966,0.4845557763073687,,0.6125849453998826,1.0,0.40015812308929144,0.6167026522936784,0.6288876043148799,0.6103536932011889,0.5909754422367649,,0.517440121647902,,,0.5449997109815786,,,,,,0.568049904295191,0.5608803647346279,,0.47647812869206024,0.5330737252763333,0.5816578733787016,0.5871190397148373,0.2921012990561609,0.5591539056382737,0.5947298491813958,0.6169658926979097,0.6002887524264868,0.41049389829601274,0.5115509056057794,,0.3779346820272872,,0.15269955836844928,,0.20072443274884882,0.2089628312728664,0.19653039163723743,0.026006347399213186,0.47630745728331375,0.11467467404993006,0.46126971522152466,0.43516948505456376,0.5342823769667471,0.09838745987436984,0.3198237120239321,0.5294998574170677,0.5365300577080641,0.5328270984320477,0.5594281279843061,0.544418547607638,0.25607002498766007,,,0.2421478108276079,0.5034101954573422,0.5920230456415133
9-13,0.6730875479465297,0.6782965102668207,0.18816343984328635,0.7678416541331184,0.7729834807297801,0.6757736793575277,0.6166835123036899,0.7706396092594121,0.4705888705553537,0.65279337264661,0.7717968024985014,0.7167457363130476,0.8310366640582153,0.7385175368157999,0.19550696503934767,,0.6911702103886121,0.40015812308929144,1.0,0.6844463800876086,0.7195753357333233,0.6359984501101729,0.7191957389270361,,0.7152778568815612,,,0.8120047706428275,,,,,,0.729701790279377,0.7010629700968563,,0.7251605428017254,0.6896836484823804,0.7570999580665412,0.7207370368447161,0.4044055122382941,0.678870571111062,0.6514225386120377,0.6665231085607322,0.6640452495684879,0.5795021404765438,0.549035696445558,,0.48036649398947273,,0.10265655664562048,,0.22264366799832105,0.2296676087731078,0.29076744056061005,0.15292958569072237,0.5021838490053793,0.2169132375888275,0.6255520335174471,0.47142733540844933,0.5610815030545134,0.026208457343877164,0.32312946425199607,0.5729100433143928,0.6265409673663589,0.6129771638890645,0.6763927790573034,0.6257753970011077,0.24624375431700085,,,0.27005542887920264,0.6042854531167756,0.6872021302175519
10-7,0.6952930926361289,0.7732535575377979,0.26303014542169634,0.8246505900267835,0.8357025624821128,0.7087480634716963,0.673575071127761,0.8422701317955736,0.6096091315723923,0.7009288503618406,0.8113425200796369,0.9346739553354322,0.7686862386933092,0.8410904262626281,0.4075963656789875,,0.9050181571248691,0.6167026522936784,0.6844463800876086,1.0,0.879890574702474,0.9065703811046206,0.8326473049048246,,0.8315817044416968,,,0.7817497140753867,,,,,,0.8551384399597871,0.8354337508467845,,0.7017101330890744,0.7746255565576502,0.8233910469597641,0.7954631552347909,0.3067841736386989,0.8402949014600346,0.7374141622266942,0.8503343178284869,0.7960026475327356,0.4787083839609712,0.6634932564142184,,0.5367805460445809,,0.062356352859609304,,0.1575394310625524,0.27773083110929353,0.34670221874142054,0.117076278151283,0.5556545235617539,0.18845090521783914,0.6796146402614207,0.4835769204249285,0.7467944247355981,0.029368482074387976,0.49822579362141084,0.7422689497828578,0.6970305566509839,0.6711108021568837,0.7869272515757206,0.7203339184407547,0.3643869807180053,,,0.26496910275714514,0.6479299261927579,0.7863324207264066
